Douglas Adams	Q42
Denis Diderot	Q448
Carl Sagan	Q410
Julian Assange	Q360
Yanka Kupala	Q377
Paul Morand	Q272
Emily Dickinson	Q4441
Émile Zola	Q504
Stendhal	Q502
Victor Hugo	Q535
Rabindranath Tagore	Q7241
Charles Baudelaire	Q501
Vladimir Vysotsky	Q512
Jean Racine	Q742
Dario Fo	Q765
Leo Tolstoy	Q7243
Mark Twain	Q7245
Arthur Rimbaud	Q493
Bill Maher	Q489
Georges Brassens	Q449
Plato	Q859
Joseph Stalin	Q855
Grazia Deledda	Q7728
Ibn Battuta	Q7331
Dan Brown	Q7345
Robert Schumann	Q7351
Leonhard Euler	Q7604
Miep Gies	Q7335
Ada Lovelace	Q7259
Pyotr Ilyich Tchaikovsky	Q7315
Dante Alighieri	Q1067
J. R. R. Tolkien	Q892
J. Bernlef	Q920
Joseph Brodsky	Q862
Hector Berlioz	Q1151
Frank Herbert	Q7934
Alfred Jarry	Q7841
Franz Kafka	Q905
Friedrich Theodor Vischer	Q651
Mikhail Bulgakov	Q835
Luigi Pirandello	Q1403
Boris Vian	Q7833
Richard Wagner	Q1511
Miles Franklin	Q984
Harry Mulisch	Q927
Fyodor Dostoyevsky	Q991
Ivan IV Vasilyevich	Q7996
Archimedes	Q8739
Walt Disney	Q8704
Richard Holmes	Q8237
Akira Kurosawa	Q8006
Martin Luther King Jr.	Q8027
Nicholas Meyer	Q8312
Kurt Cobain	Q8446
Augustine of Hippo	Q8018
Leonard Cohen	Q1276
Matthew Kneale	Q4671
Peter Jackson	Q4465
Confucius	Q4604
Le Corbusier	Q4724
Béroul	Q4506
Federico Gamboa	Q4487
Herman Melville	Q4985
Jean Bodel	Q5172
Marie-Jean-Léon d'Hervey de Saint Denys	Q4786
Moncef Marzouki	Q4715
M. J. Hyland	Q4731
Bernart de Ventadorn	Q4501
Eugene Kaspersky	Q4864
Arnošt Muka	Q8948
Euclid	Q8747
Henry Ford	Q8768
Chanakya	Q9045
Propertius	Q8827
Satyajit Ray	Q8873
Fibonacci	Q8763
Mo Yan	Q8998
Paul	Q9200
Karl Marx	Q9061
Joseph Victor von Scheffel	Q9082
Noam Chomsky	Q9049
Jaroslav Hašek	Q2754
Hans Christian Andersen	Q5673
Gottfried Wilhelm Leibniz	Q9047
Andreas Capellanus	Q4340
Eminem	Q5608
Alessandro Manzoni	Q1064
Robert Louis Stevenson	Q1512
Françoise Sagan	Q1646
Guy de Maupassant	Q9327
Walter of Châtillon	Q5198
Maria de Ventadorn	Q5363
William IX	Q5351
Robert de Boron	Q5380
Isabella Teotochi Albrizzi	Q5454
Fulcher of Chartres	Q5630
Abu Nuwas	Q5670
Conon de Béthune	Q5659
Frank Lloyd Wright	Q5604
Hippocrates	Q5264
Hugh of Fouilloy	Q5631
Salvador Dalí	Q5577
Wace	Q5382
Marie de France	Q5617
Ernst Mayr	Q5354
Charles Lyell	Q5333
Gautier d'Arras	Q5648
Robert the Monk	Q5376
Anton Chekhov	Q5685
Miguel de Cervantes	Q5682
C. S. Lewis	Q9204
Immanuel Kant	Q9312
George Sand	Q3816
George Orwell	Q3335
Antoine de Saint-Exupéry	Q2908
Matsuo Bashō	Q5676
Lord Byron	Q5679
Louis Aragon	Q4128
Chrétien de Troyes	Q4302
Sima Qian	Q9372
Jean-Paul Sartre	Q9364
Charles Dickens	Q5686
Geoffrey Chaucer	Q5683
Friedrich Nietzsche	Q9358
Homer	Q6691
Gabriel García Márquez	Q5878
Giuseppe Garibaldi	Q539
Luís de Camões	Q590
Patti Smith	Q557
Pierre Corneille	Q747
Paul Verlaine	Q755
Michael Bloomberg	Q607
Johann Wolfgang von Goethe	Q5879
Harivansh Rai Bachchan	Q9575
Adam Smith	Q9381
Zhu Xi	Q9397
Thomas Aquinas	Q9438
Ludwig Wittgenstein	Q9391
Søren Kierkegaard	Q6512
Jean-Jacques Rousseau	Q6527
Wolf Haas	Q6519
Mervyn Peake	Q6515
Marcel Proust	Q7199
Simone de Beauvoir	Q7197
James Joyce	Q6882
Ingmar Bergman	Q7546
Voltaire	Q9068
Tess Gerritsen	Q6950
Alexander Pushkin	Q7200
Naguib Mahfouz	Q7176
Laozi	Q9333
John Locke	Q9353
Honoré de Balzac	Q9711
Carl Barks	Q11941
Mao Zedong	Q5816
Che Guevara	Q5809
Peter Kropotkin	Q5752
Britney Spears	Q11975
Bernard Werber	Q12054
Gianluigi Bonelli	Q12085
Günter Grass	Q6538
Quintus Curtius Rufus	Q5959
James Heneghan	Q6013
Anna de Noailles	Q6050
Sigmund Freud	Q9215
Gaston Waringhien	Q12622
Edmond Privat	Q12571
Henry Dunant	Q12091
Adolphe Thiers	Q5738
Pierre-Joseph Proudhon	Q5749
Marco Polo	Q6101
Horace	Q6197
Hillary Clinton	Q6294
Hafez	Q6240
Li Bai	Q7071
Jacob Grimm	Q6701
Wilhelm Grimm	Q6714
Allen Ginsberg	Q6711
Oscar Wilde	Q30875
Max Brod	Q28480
Heinrich von Kleist	Q28494
William T. Vollmann	Q29344
J. Neil Schulman	Q29621
William Kennedy	Q31984
Hans Jakob Christoffel von Grimmelshausen	Q31220
Jean d'Esme	Q33055
Jules Verne	Q33977
Joseph L. Green	Q31231
Maryline Desbiolles	Q33476
Al-Biruni	Q11826
Pythagoras	Q10261
Suetonius	Q10133
John McCain	Q10390
Valerie Solanas	Q11093
Mick Foley	Q10731
Antoni Grabowski	Q11847
Ibn al-Haytham	Q11104
Ibn Bajjah	Q11362
Stéphane Mallarmé	Q767
August Strindberg	Q7724
Stanisław Lem	Q6530
Edgar Allan Poe	Q16867
Henry Purcell	Q9695
Henry Fielding	Q34190
Jorge Luis Borges	Q909
Albert Einstein	Q937
John Paul II	Q989
Woody Allen	Q25089
Hans Bradtke	Q20557
Pier Paolo Pasolini	Q25120
Sławomir Mrożek	Q18832
Friedrich Dürrenmatt	Q23481
Roald Dahl	Q25161
Felix von Leitner	Q20906
Rudyard Kipling	Q34743
Albert Camus	Q34670
Natalie Clifford Barney	Q34782
D. H. Lawrence	Q34970
Isaac Asimov	Q34981
Sallust	Q7170
Baron d'Holbach	Q7104
Julius Caesar	Q1048
France Prešeren	Q1031
Jawaharlal Nehru	Q1047
Roald Amundsen	Q926
Francis Orpen Morris	Q29737
Christopher Marlowe	Q28975
Aleksandr Solzhenitsyn	Q34474
J. K. Rowling	Q34660
John Lennon	Q1203
Dag Hammarskjöld	Q1267
Pablo Neruda	Q34189
Agatha Christie	Q35064
Julio Baghy	Q12773
Maxim Gorki	Q12706
Blaise Pascal	Q1290
Petrarch	Q1401
Niccolò Machiavelli	Q1399
Giovanni Boccaccio	Q1402
Montesquieu	Q15975
Mario Benedetti	Q16285
William Shatner	Q16297
Ivan Cankar	Q15809
Han Suyin	Q16400
Henrik Ibsen	Q36661
Samuel Beckett	Q37327
Herman Heijermans	Q36771
Sándor Márai	Q36951
Arthur Conan Doyle	Q35610
Bram Stoker	Q36184
Thomas Pynchon	Q35155
Hisashi Inoue	Q12903
Paulo Coelho	Q12881
Yann Martel	Q13914
Umberto Eco	Q12807
João Guimarães Rosa	Q13012
Alexandre Dumas	Q38337
Elie Wiesel	Q18391
Georges Duhamel	Q20733
Gao Xingjian	Q18143
Bertha von Suttner	Q18456
Maya Angelou	Q19526
Hwang Sun-won	Q18914
Henri Barbusse	Q18404
Maxine Hong Kingston	Q19330
Jane Austen	Q36322
Vladimir Nabokov	Q36591
Thomas Mann	Q37030
Paul Otlet	Q1868
Madonna	Q1744
Martial	Q2098
Seneca	Q2054
Tacitus	Q2161
Jacques Brel	Q1666
Titus Livius	Q2039
Serge Gainsbourg	Q1698
Cesare Pavese	Q2022
Michael Schmidt-Salomon	Q1878
José Rizal	Q1500
Claudius	Q1411
Marcus Aurelius	Q1430
Robert Brasillach	Q1488
Lu Xun	Q23114
Karl May	Q22714
Pyotr Vyazemsky	Q19425
Friedrich Schiller	Q22670
Futabatei Shimei	Q22665
Totò	Q2291
Brothers Grimm	Q2793
Chuck Norris	Q2673
Sasha Grey	Q2709
Tom Hanks	Q2263
Anatoly Lunacharsky	Q18809
Matteo Bandello	Q19054
William Painter	Q19061
Andreas Eschbach	Q19015
Samuel P. Huntington	Q19074
Cicero	Q1541
Charles Lindbergh	Q1618
Nostradamus	Q39978
Virginia Woolf	Q40909
Harold Pinter	Q41042
Federico García Lorca	Q41408
John Steinbeck	Q39212
William Faulkner	Q38392
Bertolt Brecht	Q38757
Lewis Carroll	Q38082
Herta Müller	Q38049
Franciszek Karpiński	Q3547
Amelia Earhart	Q3355
Charles Maurras	Q3048
Marit Paulsen	Q3281
Élisée Reclus	Q20951
Jan Fethke	Q22539
John Francis	Q22590
Detlev von Liliencron	Q21119
Maurice Genevoix	Q22750
Alicia Ostriker	Q21623
Nikolai Gogol	Q43718
Gerhart Hauptmann	Q43523
Guibert of Nogent	Q4289
Alain de Lille	Q4313
Rodolphe Töpffer	Q4247
Publius Flavius Vegetius Renatus	Q4298
Peter Abelard	Q4295
Elsa Triolet	Q4137
Arnaut Daniel	Q4344
Wisława Szymborska	Q42552
Heinrich Böll	Q42747
Wole Soyinka	Q41488
J. M. Coetzee	Q43293
José Saramago	Q37060
George Mikes	Q19469
Jap Peter Hansen	Q20618
Li Shijun	Q19800
Jens Emil Mungard	Q20681
Pêr Denez	Q20731
Hans Sachs	Q19543
Al Gore	Q19673
Geri Halliwell	Q19845
Ernest Drezen	Q20732
Harro Harring	Q20668
Muammar Gaddafi	Q19878
Ann Brashares	Q39987
Doris Lessing	Q40874
David Mitchell	Q40479
Knut Hamsun	Q40826
A. H. Salunkhe	Q55771
Tryambak Shankar Shejwalkar	Q55754
Astrid Lindgren	Q55767
Indira Sant	Q55765
